0 0 55718
1 55718 44781
2 100499 38447
3 138946 34059
4 173005 33595
5 206600 30935
6 237535 30718
7 268253 30454
8 298707 29945
9 328652 28638
10 357290 27843
11 385133 27028
12 412161 25945
13 438106 25811
14 463917 25799
15 489716 24896
16 514612 24707
17 539319 24561
18 563880 24375
19 588255 24243
20 612498 24048
21 636546 23905
22 660451 23810
23 684261 23603
24 707864 23246
25 731110 23026
26 754136 22925
27 777061 22806
28 799867 22817
29 822684 22556
30 845240 22520
31 867760 22549
32 890309 22098
33 912407 21936
34 934343 21952
35 956295 21867
36 978162 21767
37 999929 21647
38 1021576 21602
39 1043178 21580
40 1064758 21521
41 1086279 21482
42 1107761 21318
43 1129079 21229
44 1150308 20984
45 1171292 20736
46 1192028 20494
47 1212522 20285
48 1232807 20235
49 1253042 20153
50 1273195 20093
51 1293288 19884
52 1313172 19789
53 1332961 19812
54 1352773 19686
55 1372459 19511
56 1391970 19551
57 1411521 19463
58 1430984 19366
59 1450350 19278
60 1469628 19092
61 1488720 19082
62 1507802 19028
63 1526830 19034
64 1545864 18949
65 1564813 18710
66 1583523 18595
67 1602118 18443
68 1620561 18380
69 1638941 18316
70 1657257 18049
71 1675306 17884
72 1693190 17838
73 1711028 17708
74 1728736 17719
75 1746455 17582
76 1764037 17575
77 1781612 17530
78 1799142 17445
79 1816587 17221
80 1833808 17211
81 1851019 17254
82 1868273 17198
83 1885471 17070
84 1902541 17053
85 1919594 16983
86 1936577 16880
87 1953457 16884
88 1970341 16832
89 1987173 16596
90 2003769 16524
91 2020293 16461
92 2036754 16384
93 2053138 16433
94 2069571 16385
95 2085956 16289
96 2102245 16310
97 2118555 16001
98 2134556 16027
99 2150583 15913
100 2166496 15865
101 2182361 15871
102 2198232 15868
103 2214100 15852
104 2229952 15773
105 2245725 15804
106 2261529 15792
107 2277321 15790
108 2293111 15779
109 2308890 15778
110 2324668 15710
111 2340378 15744
112 2356122 15702
113 2371824 15696
114 2387520 15592
115 2403112 15662
116 2418774 15564
117 2434338 15547
118 2449885 15602
119 2465487 15505
120 2480992 15392
121 2496384 15321
122 2511705 15284
123 2526989 15256
124 2542245 15116
125 2557361 15074
126 2572435 15086
127 2587521 15008
128 2602529 14985
129 2617514 14791
130 2632305 14662
131 2646967 14617
132 2661584 14634
133 2676218 14617
134 2690835 14517
135 2705352 14352
136 2719704 14178
137 2733882 14076
138 2747958 14012
139 2761970 13968
140 2775938 13921
141 2789859 13782
142 2803641 13766
143 2817407 13749
144 2831156 13752
145 2844908 13704
146 2858612 13687
147 2872299 13658
148 2885957 13640
149 2899597 13565
150 2913162 13564
151 2926726 13562
152 2940288 13395
153 2953683 13314
154 2966997 13293
155 2980290 13156
156 2993446 13182
157 3006628 13218
158 3019846 13092
159 3032938 13173
160 3046111 13154
161 3059265 13046
162 3072311 13062
163 3085373 12996
164 3098369 13072
165 3111441 12993
166 3124434 12944
167 3137378 12968
168 3150346 12903
169 3163249 12864
170 3176113 12839
171 3188952 12851
172 3201803 12853
173 3214656 12628
174 3227284 12605
175 3239889 12578
176 3252467 12578
177 3265045 12480
178 3277525 12476
179 3290001 12441
180 3302442 12433
181 3314875 12337
182 3327212 12284
183 3339496 12284
184 3351780 12274
185 3364054 12228
186 3376282 12155
187 3388437 12144
188 3400581 11998
189 3412579 11929
190 3424508 11966
191 3436474 11913
192 3448387 11868
193 3460255 11857
194 3472112 11754
195 3483866 11617
196 3495483 11618
197 3507101 11637
198 3518738 11638
199 3530376 11606
200 3541982 11552
201 3553534 11583
